Product Name,Price,Image URL,Local Image Path,Product Page
Heart Spike,$24.99 USD$44.99 USD,,product_images/Heart_Spike.jpg,https://ersanails.com/collections/all/products/heart-spike
Medusa,$39.99 USD,,product_images/Medusa.jpg,https://ersanails.com/collections/all/products/medusa
Monet's Garden,$49.99 USD,,product_images/Monets_Garden.jpg,https://ersanails.com/collections/all/products/monets-garden
Miss Underwater,$39.99 USD$44.99 USD,,product_images/Miss_Underwater.jpg,https://ersanails.com/collections/all/products/miss-underwater
Morning Dew,$49.99 USD$54.99 USD,,product_images/Morning_Dew.jpg,https://ersanails.com/collections/all/products/morning-dew
Beryl Enchantress,$39.99 USD$44.99 USD,,product_images/Beryl_Enchantress.jpg,https://ersanails.com/collections/all/products/beryl-enchantress
Celestial Hymn,$44.99 USD,,product_images/Celestial_Hymn.jpg,https://ersanails.com/collections/all/products/celestial-hymn
Venus's Embrace,$39.99 USD$44.99 USD,,product_images/Venuss_Embrace.jpg,https://ersanails.com/collections/all/products/venuss-embrace
Velvet Rose,$44.99 USD$49.99 USD,,product_images/Velvet_Rose.jpg,https://ersanails.com/collections/all/products/velvet-rose
Petal by Petal,$39.99 USD,,product_images/Petal_by_Petal.jpg,https://ersanails.com/collections/all/products/petal-by-petal
Cerulean Bloom,$44.99 USD,,product_images/Cerulean_Bloom.jpg,https://ersanails.com/collections/all/products/cerulean-bloom
Shimmering Bliss,$39.99 USD,,product_images/Shimmering_Bliss.jpg,https://ersanails.com/collections/all/products/shimmering-bliss
Flower Hour,$39.99 USD$44.99 USD,,product_images/Flower_Hour.jpg,https://ersanails.com/collections/all/products/flower-hour
Tulip Harvest,$44.99 USD,,product_images/Tulip_Harvest.jpg,https://ersanails.com/collections/all/products/tulip-harvest
Lighthearted,$39.99 USD$44.99 USD,,product_images/Lighthearted.jpg,https://ersanails.com/collections/all/products/lightearted
Thriving,$34.99 USD$39.99 USD,,product_images/Thriving.jpg,https://ersanails.com/collections/all/products/thriving
Flora’s Breath,$44.99 USD,,product_images/Floras_Breath.jpg,https://ersanails.com/collections/all/products/flora-s-breath
Azure Haze mini,$39.99 USD,,product_images/Azure_Haze_mini.jpg,https://ersanails.com/collections/all/products/azure-haze-mini
Sapphire,$44.99 USD,,product_images/Sapphire.jpg,https://ersanails.com/collections/all/products/sapphire
La Luna,$34.99 USD$39.99 USD,,product_images/La_Luna.jpg,https://ersanails.com/collections/all/products/la-luna
Flipped,$34.99 USD$39.99 USD,,product_images/Flipped.jpg,https://ersanails.com/collections/all/products/flipped
Silken Waves,$44.99 USD,,product_images/Silken_Waves.jpg,https://ersanails.com/collections/all/products/silken-waves
Fluffy Kitty,$34.99 USD$39.99 USD,,product_images/Fluffy_Kitty.jpg,https://ersanails.com/collections/all/products/fluffy-kitty
Kitty Pawfect,$34.99 USD$39.99 USD,,product_images/Kitty_Pawfect.jpg,https://ersanails.com/collections/all/products/kitty-pawfect
Ocean Babies,$79.99 USD$109.97 USD,,product_images/Ocean_Babies.jpg,https://ersanails.com/collections/all/products/ocean-babies
Soft Puppy,$34.99 USD$39.99 USD,,product_images/Soft_Puppy.jpg,https://ersanails.com/collections/all/products/soft-puppy
Hang Out Together,$39.99 USD,,product_images/Hang_Out_Together.jpg,https://ersanails.com/collections/all/products/hang-out-together
Ersa Gift Packaging,$8.99 USD,,product_images/Ersa_Gift_Packaging.jpg,https://ersanails.com/collections/all/products/ersa-gift-packaging
Tropicalia,$44.99 USD$49.99 USD,,product_images/Tropicalia.jpg,https://ersanails.com/collections/all/products/tropicalia
Sun-Kissed,$44.99 USD,,product_images/Sun-Kissed.jpg,https://ersanails.com/collections/all/products/sun-kissed
Wild Venus,$39.99 USD$44.99 USD,,product_images/Wild_Venus.jpg,https://ersanails.com/collections/all/products/wild-venus
Spring Letter,$39.99 USD$49.99 USD,,product_images/Spring_Letter.jpg,https://ersanails.com/collections/all/products/spring-letter
